Thu Jun 16 03:45:57 2022 Epoch 0, lr: 0.0001000, val loss: 176.61533, acc: 34.72000
Thu Jun 16 03:46:23 2022 Epoch 1, lr: 0.0001000, val loss: 151.64654, acc: 44.90000
Thu Jun 16 03:46:49 2022 Epoch 2, lr: 0.0001000, val loss: 144.91293, acc: 47.50000
Thu Jun 16 03:47:16 2022 Epoch 3, lr: 0.0001000, val loss: 139.86863, acc: 49.58000
Thu Jun 16 03:47:42 2022 Epoch 4, lr: 0.0001000, val loss: 135.58475, acc: 51.34000
Thu Jun 16 03:48:09 2022 Epoch 5, lr: 0.0000999, val loss: 129.53740, acc: 53.44000
Thu Jun 16 03:48:35 2022 Epoch 6, lr: 0.0000999, val loss: 129.23396, acc: 52.92000
Thu Jun 16 03:49:02 2022 Epoch 7, lr: 0.0000998, val loss: 121.32323, acc: 57.02000
Thu Jun 16 03:49:28 2022 Epoch 8, lr: 0.0000998, val loss: 122.25992, acc: 56.07000
Thu Jun 16 03:49:55 2022 Epoch 9, lr: 0.0000997, val loss: 115.90764, acc: 59.10000
Thu Jun 16 03:50:22 2022 Epoch 10, lr: 0.0000996, val loss: 112.09315, acc: 60.51000
Thu Jun 16 03:50:49 2022 Epoch 11, lr: 0.0000995, val loss: 116.50543, acc: 58.60000
Thu Jun 16 03:51:16 2022 Epoch 12, lr: 0.0000994, val loss: 114.76533, acc: 59.49000
Thu Jun 16 03:51:43 2022 Epoch 13, lr: 0.0000993, val loss: 110.45246, acc: 61.23000
Thu Jun 16 03:52:10 2022 Epoch 14, lr: 0.0000991, val loss: 105.89715, acc: 62.70000
Thu Jun 16 03:52:36 2022 Epoch 15, lr: 0.0000990, val loss: 105.82825, acc: 62.34000
Thu Jun 16 03:55:07 2022 Epoch 0, lr: 0.0001000, val loss: 171.58522, acc: 37.00000
Thu Jun 16 03:55:34 2022 Epoch 1, lr: 0.0001000, val loss: 151.68319, acc: 44.94000
Thu Jun 16 03:56:01 2022 Epoch 2, lr: 0.0001000, val loss: 142.27417, acc: 48.58000
Thu Jun 16 03:56:28 2022 Epoch 3, lr: 0.0001000, val loss: 136.35066, acc: 51.16000
Thu Jun 16 03:56:55 2022 Epoch 4, lr: 0.0001000, val loss: 132.71181, acc: 51.69000
Thu Jun 16 03:57:22 2022 Epoch 5, lr: 0.0000999, val loss: 127.97713, acc: 53.64000
Thu Jun 16 03:57:49 2022 Epoch 6, lr: 0.0000999, val loss: 123.12520, acc: 55.72000
Thu Jun 16 03:58:16 2022 Epoch 7, lr: 0.0000998, val loss: 119.82336, acc: 56.85000
Thu Jun 16 03:58:43 2022 Epoch 8, lr: 0.0000998, val loss: 118.52058, acc: 56.86000
Thu Jun 16 03:59:10 2022 Epoch 9, lr: 0.0000997, val loss: 118.86087, acc: 57.25000
Thu Jun 16 03:59:37 2022 Epoch 10, lr: 0.0000996, val loss: 119.97881, acc: 57.91000
Thu Jun 16 04:00:04 2022 Epoch 11, lr: 0.0000995, val loss: 114.35976, acc: 59.17000
Thu Jun 16 04:00:10 2022 Epoch 0, lr: 0.0001000, val loss: 172.96481, acc: 38.70000
Thu Jun 16 04:00:32 2022 Epoch 12, lr: 0.0000994, val loss: 108.70331, acc: 61.32000
Thu Jun 16 04:00:38 2022 Epoch 1, lr: 0.0001000, val loss: 161.08769, acc: 41.29000
Thu Jun 16 04:00:59 2022 Epoch 13, lr: 0.0000993, val loss: 110.31973, acc: 61.36000
Thu Jun 16 04:01:05 2022 Epoch 2, lr: 0.0001000, val loss: 152.11696, acc: 43.96000
Thu Jun 16 04:01:25 2022 Epoch 14, lr: 0.0000991, val loss: 109.42059, acc: 61.00000
Thu Jun 16 04:01:32 2022 Epoch 3, lr: 0.0001000, val loss: 144.72239, acc: 47.23000
Thu Jun 16 04:01:52 2022 Epoch 15, lr: 0.0000990, val loss: 104.99808, acc: 62.82000
Thu Jun 16 04:01:59 2022 Epoch 4, lr: 0.0001000, val loss: 137.21286, acc: 50.10000
Thu Jun 16 04:02:20 2022 Epoch 16, lr: 0.0000988, val loss: 104.36705, acc: 63.17000
Thu Jun 16 04:02:27 2022 Epoch 5, lr: 0.0000999, val loss: 136.16427, acc: 50.50000
Thu Jun 16 04:02:46 2022 Epoch 17, lr: 0.0000986, val loss: 104.55226, acc: 62.87000
Thu Jun 16 04:02:54 2022 Epoch 6, lr: 0.0000999, val loss: 131.08196, acc: 52.40000
Thu Jun 16 04:03:13 2022 Epoch 18, lr: 0.0000984, val loss: 101.79866, acc: 64.73000
Thu Jun 16 04:03:22 2022 Epoch 7, lr: 0.0000998, val loss: 130.04451, acc: 53.14000
Thu Jun 16 04:03:40 2022 Epoch 19, lr: 0.0000982, val loss: 99.43073, acc: 64.59000
Thu Jun 16 04:03:49 2022 Epoch 8, lr: 0.0000998, val loss: 125.40736, acc: 54.45000
Thu Jun 16 04:04:07 2022 Epoch 20, lr: 0.0000980, val loss: 99.31327, acc: 65.33000
Thu Jun 16 04:04:17 2022 Epoch 9, lr: 0.0000997, val loss: 125.20761, acc: 54.79000
Thu Jun 16 04:04:19 2022 Epoch 0, lr: 0.0001000, val loss: 178.20731, acc: 35.84000
Thu Jun 16 04:04:34 2022 Epoch 21, lr: 0.0000978, val loss: 99.15065, acc: 65.05000
Thu Jun 16 04:04:44 2022 Epoch 10, lr: 0.0000996, val loss: 122.87727, acc: 55.91000
Thu Jun 16 04:04:47 2022 Epoch 1, lr: 0.0001000, val loss: 156.24993, acc: 44.56000
Thu Jun 16 04:05:01 2022 Epoch 22, lr: 0.0000976, val loss: 96.71300, acc: 65.80000
Thu Jun 16 04:05:07 2022 Epoch 0, lr: 0.0001000, val loss: 176.90583, acc: 35.43000
Thu Jun 16 04:05:12 2022 Epoch 11, lr: 0.0000995, val loss: 122.85035, acc: 55.83000
Thu Jun 16 04:05:14 2022 Epoch 2, lr: 0.0001000, val loss: 153.61181, acc: 44.31000
Thu Jun 16 04:05:28 2022 Epoch 23, lr: 0.0000973, val loss: 97.26867, acc: 66.19000
Thu Jun 16 04:05:39 2022 Epoch 12, lr: 0.0000994, val loss: 116.16488, acc: 57.94000
Thu Jun 16 04:05:42 2022 Epoch 3, lr: 0.0001000, val loss: 142.59486, acc: 49.14000
